,各省市高考人数数据,各省市高考人数数据,教育局,,,
,,,,,,
日期,地区,高考人数(万)
2013,广东,72.7
2012,广东,69.2
2011,广东,65.5
2010,广东,61.5
2009,广东,64.4
2008,广东,61.4







河南
71.63万↓
80.5万↑
69.2万↓
95.24万 ↓
95.9万
90.5万
四川
54万↑
53.8万↑
51.4万↑
51.15万 ↑
50万
51.76万
安徽
51.1万↑
50.6万↓
54万↓
56.2万 ↓
57.2万
61万
山东
50.9万↑
49.7万↓
58.7万↓
约66万 ↓
70万
80万
江苏
45.1万↓
47.4万↓
50万↓
52.7万 ↓
54.6万
50.8万
河北
44.98万↓
45.93万↓
48.5万↓
50.3万 ↓
55.9万
57.48万
湖北
43.8万↓
45.7万↓
48.47万↓
49.2万 ↓
51.95万
52.5万
湖南
37.3万↑
35.2万↓
37.2万↓
41.3万 ↓
50.7万
54万
陕西
36.65万↓
37.53万↓
38.39万↑
37.85万 ↓
40.5万
41.4万
山西
35.8万↓
36.1万↑
33.9万↓
36.2万 ↓
36万
37万
浙江
31.3万↓
31.6万↑
30万↓
30.08万 ↓
34.85万
36.44万
广西
29.8万↑
28.5万↓
29.2万↓
29.9万 ↓
30.2万
30.4万
甘肃
28.3万↓
29.6↓
29.7万↑
29.1万 ↑
28.6万
29万
江西
27.43万↑
26.9万↓
28.86万↓
31.2万 ↓
35万
38.44万
福建
25.5万↑
25万↓
26.70万↓
29.2万 ↓
30.5万
31.2万
辽宁
25.4万↓
25.6万↑
24.5万↑
24.35万 ↓
28万
30万
贵州
24.78万↓
24.8万↑
24.31万↑
23.4万 ↓
24万
24万
云南
23.6万↑
21万↓
23万↑
超22万 ↑
22万
26万
重庆
23.5万↑
23万↑
21.64万↑
19.67万 ↑
19.6万
18.6万
黑龙江
20.8万 ↓
21万↑
20.8万↑
19.5万 ↓
23万
22.8万
内蒙古
19.3万↑
18.95万↓
20.56万↓
21.9万 ↓
24.6万
27万
新疆
15.87万↑
15.47万↑
14.77万↓
16.42万 ↓
16.45万
17万
吉林
15.5万↓
16.2万↓
16.5万↓
16.9万 ↓
19.7万
20.8万
北京
7.27万↓
7.3万↓
7.6万↓
8.1万 ↓
10.1万
10.37万
天津
6.3万↓
6.4万↓
6.46万↓
7.1万 ↓
7.65万
8.85万
宁夏
5.87万↓
6.02万↑
6.01万↑
5.7万 ↓
5.8万
5.8万
海南
5.6万↑
5.5万↑
5.4万↓
5.47万 ↓
5.78万
――
上海
5.3万↓
5.5万↓
6.1万↓
6.7万 ↓
8.3万
10.8万
西藏
1.89万 ↓
1.9万↑
1.8万
1.8万 ↑
1.36万
1.5万
青海
未公布
3.8万↓
4.06万↑
3.8万 ↓
3.9万
4.1万